oba	melko	Adv	Pcle
šiehtadallan	neuvottelu	N	N
guorahallan	selvitys	N	N
gieđahallan	käsittely	N	N
ságastallan	keskustelu& vuoropuhelu	N	N
digaštallan	väittely& keskustelu	N	N
árvvoštallan	arviointi	N	N
valáštallan	urheilu	N	N
man	kuinka	Adv	Adv& Pron
eanan	maa	N	N
stáhtaeanan	valtionmaa	N	N
guohtuneanan	laidunalue	N	N
siseanan	sisämaa	N	N
beassan	pääsy	N	N
oktan	yhdessä	Adv	Adv
nuortan	idässä	Adv	Adv
njuovvan	teurastus	N	N
vuohččan	ensimmäinen	Adv	Num& N
válljen	valinta	N	N
merken	merkintä	N	N
hábmen	muotoilu	N	N
eksámen	tentti	N	N
plánen	suunnittelu	N	N
investeren	investointi	N	N
huksen	rakentaminen	N	N
kárten	kartoittaminen	N	N
birasgáhtten	ympäristösuojelu	N	N
sirdin	siirto	N	N
vuovdin	myynti	N	N
dainnalágiin	sillä tavalla	Adv	Adv
oarjin	lännessä	Adv	Adv
juohkin	jako	N	N
diehtojuohkin	tiedotus	N	N
jahkečoahkkin	vuosikokous	N	N
girkočoahkkin	kirkkokokous	N	N
dievasčoahkkin	täysistunto	N	N
ollesčoahkkin	täysistunto	N	N
eallin	elämä	N	N
bargoeallin	työelämä	N	N
girkoeallin	kirkkoelämä	N	N
kultureallin	kulttuurielämä	N	N
servodateallin	yhteiskuntaelämä	N	N
čállin	kirjoittaminen	N	N
atnin	käyttö	N	N
muhtin	muutama	Pron	Pron
ovdanbuktin	esitys	N	N
oastin	osto	N	N
sihkkarastin	varmistus	N	N
dáruiduhttin	norjalaistuminen	N	N
davvin	pohjoisessa	Adv	Adv
miljon	miljoona	N	N
dulkon	tulkkaus	N	N
dálon	talollinen	N	A& N
rihkkun	pilkku	N	N
geasseguohtun	kesälaidun	N	N
dálveguohtun	talvilaidun	N	N
veadjemeahttun	mahdoton	A	A
sorjjasmeahttun	riippumaton	A	A
dárbbašmeahttun	tarpeeton	A	A
gohččun	kutsu	N	N
dikšun	hoito	N	N
aiddo	juuri	Adv	Pcle& N
dego	kuten	CS	Pcle
báljo	paljon	Adv	Adv
dakko	siinä	Adv	Adv& Pcle
dákko	täällä	Adv	Adv
kruvdno	kruunu	N	N
konto	tili	N	N
duo	tuolla	Adv	Adv
vuođđo	perusta	N	N
sihkar	varma	A	A
registtar	rekisteri	N	N
finánsaministtar	talousministeri	N	N
sámeministtar	saameministeri	N	N
riddoministtar	rannikkoministeri	N	N
guovloministtar	alueministeri	N	N
kulturministtar	kulttuuriministeri	N	N
suodjalusministtar	puolustusministeri	N	N
áššebábir	asiapaperi	N	N
diekkár	tällainen	Pron	A
buhtadas	korvaus	N	N
olgguldas	ulkoinen	A	A
siskkáldas	sisäinen	A	A
lagas	läheinen	A	A
evttohas	ehdokas	N	N
mielas	mielestä	Po	Po
diehttelas	tietysti	Adv	Adv
sierranas	erikseen	A	Adv
biras	ympäristö	N	N
fágabiras	ammattipiiri	N	N
dutkanbiras	tutkimusalue	N	N
kulturbiras	kulttuuripiiri	N	N
várreáirras	varaedustaja	N	N
duođas	todellinen	Adv	A
beales	puolella	Po	Adv
soames	muutama	Pron	Pron
rájis	siitä asti	Adv	Adv
bealis	puolella	Po	Adv
olis	mukaan	Po	Po
rávis	aikuinen	A	A
rievdadus	muutos	N	N
láhkarievdadus	lakimuutos	N	N
bagadus	ohje	N	N
čielggadus	selitys	N	N
giellanjuolggadus	kielisääntö	N	N
váldonjuolggadus	pääsääntö	N	N
šiehtadus	sopimus	N	N
váldošiehtadus	pääsopimus	N	N
ovttasbargošiehtadus	yhteistyösopimus	N	N
boazodoallošiehtadus	poronhoitosopimus	N	N
buhtadus	korvaus	N	N
gielddus	kielto	N	N
mielddus	liite	N	N
vuođđudus	säätiö	N	N
lágádus	kustantamo	N	N
čoahkádus	koostumus	N	N
eahpádus	epäily	N	N
lohpádus	lupaus	N	N
mearrádus	määräys	N	N
láhkamearrádus	lakipäätös	N	N
ovddasvástádus	vastuu	N	N
hálddašanovddasvástádus	hallintovastuu	N	N
boazodoallohálddahus	poronhoitohallinto	N	N
doaimmahus	toimitus	N	N
joatkkaoahpahus	jatkokoulutus	N	N
vuođđooahpahus	perusopetus	N	N
láhkaásahus	määräys	N	N
geavahus	käyttö	N	N
huksehus	rakennus	N	N
hehttehus	este	N	N
vásihus	kokemus	N	N
erohus	ero	N	N
evttohus	ehdotus	N	N
láhkaevttohus	lakiehdotus	N	N
listaevttohus	listaehdokas	N	N
mearrádusevttohus	päätösehdotus	N	N
váikkuhus	vaikutus	N	N
eavttuhus	ehdotus	N	N
ávžžuhus	kehotus	N	N
mátkeealáhus	matkailuelinkeino	N	N
boazoealáhus	poroelinkeino	N	N
vuođđoealáhus	peruselinkeino	N	N
lasáhus	lisäys	N	N
vásáhus	elämys	N	N
dieđáhus	tiedote	N	N
preassadieđáhus	lehdistötiedote	N	N
stuorradiggedieđáhus	hallituksen selonteko eduskunnalle	N	N
jahkedieđáhus	vuosikertomus	N	N
jus	jos	CS	CC
váidalus	valitus	N	N
mánáidsuodjalus	lastensuojelu	N	N
hástalus	haaste	N	N
váldohástalus	päähaaste	N	N
